Date,ALLIANCE,BIOPHARM,CAAR,SAIDAL,EGH,NCA,ROUIBA,DAHLI
2025-10-01 22:34:58.646077,420.0,1250.0,3000.0,540.0,1800.0,320.0,210.0,105.0
2025-10-02 22:34:58.646077,419.21293490262156,1276.4366315137788,2982.7634861844713,542.6572876698808,1770.9172985757293,320.5657910545355,201.41860082912245,104.12509107491799
2025-10-03 22:34:58.646077,423.36956868400176,1238.2872602022248,2961.858110933203,531.1752322350949,1840.7300850420568,323.8027387072283,201.09250913201166,106.3959996658044
2025-10-04 22:34:58.646077,433.1263099987434,1226.9139861646038,2931.446079916925,540.6342663755554,1851.457838148044,318.56616044660973,200.59411237112803,106.21950379736327
2025-10-05 22:34:58.646077,431.69166545322804,1258.6152633209847,2933.4460869572777,533.0162183083161,1966.5404326289488,319.66473420476683,207.31319156660953,106.360993282164
2025-10-06 22:34:58.646077,430.2618791929755,1241.4308991363653,2904.4888631566614,534.8019534237778,1925.684307287232,311.6581360583467,210.2317170441792,106.95819470525473
2025-10-07 22:34:58.646077,440.54005767350174,1253.0710376206887,2914.205778104284,569.190849309709,2025.779286469723,311.1588381874712,205.53679918522744,107.01552691421254
2025-10-08 22:34:58.646077,445.69945178266147,1273.1110030816394,2912.740348416042,567.9946961667799,2037.6044155123047,306.2206423949009,213.96176007756844,108.84019626928577
2025-10-09 22:34:58.646077,442.64992452645987,1250.145850934026,2904.6796990434873,584.4846234200354,1997.5806890554832,302.28891052448944,219.75215183897367,108.17338750153147
2025-10-10 22:34:58.646077,446.34091694653114,1249.2826163213724,2873.33598607673,574.3850736061227,1968.3829010521451,309.1356567550394,222.61028117353206,108.39471831694227
2025-10-11 22:34:58.646077,443.32755096083304,1168.922078773563,2853.7362258370254,574.0549674609679,1949.2690778466065,315.33184269310135,221.5456140733883,107.60075888882041
2025-10-12 22:34:58.646077,440.3191540051268,1145.5579531893814,2879.88984712943,599.6406064829463,1973.8785578347258,318.9154270603435,216.91361298915083,106.19116472513254
2025-10-13 22:34:58.646077,442.00532717668455,1140.3441030749607,2897.488871988848,590.4216259954741,2004.641582752192,312.7725961782453,215.18078794706312,105.55213911854437
2025-10-14 22:34:58.646077,429.40852733431,1112.4562312571036,2863.7891555533492,617.3514730994152,1969.9392320763059,311.11635515596856,220.37793539366547,105.52360120091065
2025-10-15 22:34:58.646077,418.3839926462952,1149.3321819133978,2867.4891358179166,628.4599710399051,1968.3029261498143,318.03426332561196,229.55907824255115,105.08113839368451
2025-10-16 22:34:58.646077,414.9388879223386,1117.0326977968318,2893.6310176882434,619.8113126889816,2094.6052063209913,318.97275204708666,237.39883241898644,104.36404265939574
2025-10-17 22:34:58.646077,408.71793041905255,1107.760332543215,2835.952665959468,629.7965928552552,2202.9513733474755,332.41679382080264,234.89316198233357,102.90678930594866
2025-10-18 22:34:58.646077,410.7262517964071,1111.2107972169133,2854.7275866599375,645.2983188016401,2231.5670730301135,334.903178730563,229.15435007418242,102.83155870835274
2025-10-19 22:34:58.646077,405.2141571705705,1143.7975714265338,2832.3137355277354,655.5232313781023,2233.888135639034,336.19486147458355,229.91044426379443,101.29451444940534
2025-10-20 22:34:58.646077,396.71091819192276,1111.5227573838006,2851.990340259651,629.9869187882065,2241.7088435252977,334.458718815656,221.01160738846414,102.0745388988134
2025-10-21 22:34:58.646077,405.51184340854707,1137.9361783841757,2826.153846394789,618.7237421404863,2282.7445325948897,335.3964528617957,222.62713366123862,102.16889635038049
2025-10-22 22:34:58.646077,404.2196213201049,1138.738037880364,2765.225967886443,615.0807178521801,2212.4730340560695,334.61013028171226,221.9487315923804,100.68994895927379
2025-10-23 22:34:58.646077,404.7099086242796,1116.9537821901652,2711.4962191263708,614.1206778924593,2195.168627293228,339.00890039191177,219.71752470845993,100.38867549231077
2025-10-24 22:34:58.646077,396.1417049821786,1127.8352235480918,2713.3319545611143,623.834103328246,2085.0644081011824,344.98245475960925,212.05301558053495,99.64363450665704
2025-10-25 22:34:58.646077,392.98614281333136,1132.8892718849963,2722.059848115444,626.7926521736877,2109.828079375431,340.2397014184913,214.49145611446409,99.97163595270821
2025-10-26 22:34:58.646077,393.71860565210824,1119.8561313021885,2692.7928063980958,606.0560891653129,2150.581261560772,332.2229078515935,212.0206392726924,101.3217033563282
2025-10-27 22:34:58.646077,386.99983557698005,1121.9794252249146,2713.697251829325,611.9984365593057,2119.1922508847897,321.37526622236237,206.60602006167696,99.43187883954984
2025-10-28 22:34:58.646077,389.25816161399104,1113.894136378761,2659.862272432445,621.5239741277509,2219.047748212485,324.44242159150434,193.59195464757667,99.55619461908553
2025-10-29 22:34:58.646077,385.8289605628334,1116.9800095520031,2658.0191006989853,630.4085109169106,2137.224867408018,318.1285777551564,193.51348642499087,99.40672812094414
2025-10-30 22:34:58.646077,384.21796791066475,1132.330234099803,2619.658052326361,647.6309676658003,2043.120192645515,305.9277007830868,201.0971899987399,100.08402599832029
2025-10-31 22:34:58.646077,380.82701412680905,1168.8142950710946,2599.428965628382,661.3271022538114,2056.673341909527,308.1898571264379,208.48704975465165,100.30741016975307
2025-11-01 22:34:58.646077,391.48414308471587,1140.4631732248426,2601.167422274771,669.117206164708,2121.07384953557,322.1428420409785,206.4321768648321,99.56315994883204
2025-11-02 22:34:58.646077,391.4831806714245,1189.6863250325546,2574.5705884314016,668.1442142060632,2228.013791876419,322.2364965652446,203.73851247600084,99.25545608453612
2025-11-03 22:34:58.646077,385.35033672708005,1143.8337249879746,2562.9472607647367,640.6006215265497,2197.11897650082,327.228853095979,205.88042231013097,98.47528253542345
2025-11-04 22:34:58.646077,390.18192617720706,1140.9333036374246,2594.152460277654,647.6731441678943,2267.998968464758,327.8417293258652,201.39954204592883,99.54473113351327
2025-11-05 22:34:58.646077,383.1146956588389,1154.928384168867,2576.45332997203,651.2302895448919,2265.1520534947686,327.3893032291324,202.77699846350785,99.57590022999722
2025-11-06 22:34:58.646077,384.3915992874875,1161.9963580363078,2602.548436004566,655.8471677512805,2253.194725800913,332.93638351925773,206.23510997072515,101.47898556044763
2025-11-07 22:34:58.646077,373.16926661243417,1148.1058647316763,2567.5272891553727,635.11012346705,2312.7011436447287,331.32998484720775,211.84316457651866,101.42757548051189
